NAME,TRIAL,INC,TIME.sec,TREATMENT
Topaz,1,19,878.258,probiotic
Topaz,2,11,305.896,probiotic
Topaz,3,13,274.997,probiotic
Ruby,1,38,1181.123,probiotic
Ruby,2,9,918.476,probiotic
Ruby,3,23,783.975,probiotic
Quartz,1,19,496.263,control
Quartz,2,7,290.001,control
Quartz,3,11,283.642,control
Limestone,1,13,368.496,control
Limestone,2,3,186.831,control
Limestone,3,4,202.25,control
Chives,1,23,516.078,probiotic
Chives,2,11,261.783,probiotic
Chives,3,16,242.312,probiotic
Parsley,1,1,53.132,probiotic
Parsley,2,0,33.782,probiotic
Parsley,3,18,178.471,probiotic
Mars,1,1,268.471,probiotic
Mars,2,,,probiotic
Mars,3,,,probiotic
Venus,1,,,probiotic
Venus,2,,,probiotic
Venus,3,,,probiotic
Opal,1,,,control
Opal,2,,,control
Opal,3,,,control
Citrine,1,0,20.503,control
Citrine,2,5,49.581,control
Citrine,3,6,102.849,control
Sun,1,,,control
Sun,2,,,control
Sun,3,,,control
Moon,1,,,control
Moon,2,,,control
Moon,3,,,control
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
